id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_days_from_arrest
51,Male,26,25 - 45,Caucasian,0,8,0,2,6,81,29/06/2013 6:05,11/07/2013 9:02,23/03/2012,,382,M,Operating W/O Valid License,0,,
52,Female,33,25 - 45,Caucasian,0,5,0,0,4,-1,2/12/2013 1:48,13/12/2013 5:25,2/12/2013,,1,M,Battery,1,(F3),57
53,Male,24,Less than 25,Caucasian,0,2,0,0,1,0,15/09/2013 3:47,16/09/2013 6:50,15/09/2013,,0,M,Battery,1,(F3),0
54,Male,34,25 - 45,African-American,2,9,1,3,21,0,11/01/2013 2:19,13/02/2013 9:33,11/01/2013,,0,F,Poss Wep Conv Felon,1,(M1),0
55,Male,29,25 - 45,Caucasian,0,2,0,0,0,0,16/01/2013 12:44,16/01/2013 6:49,15/01/2013,,1,M,Possess Cannabis/20 Grams Or Less,0,,
56,Female,21,Less than 25,African-American,0,8,0,0,2,-1,23/08/2013 10:37,11/11/2013 4:30,,23/08/2013,1,F,arrest case no charge,0,,
57,Male,51,Greater than 45,African-American,0,1,0,0,2,-1,27/02/2013 4:44,28/02/2013 8:01,27/02/2013,,1,M,Unlaw Use False Name/Identity,0,,
59,Male,29,25 - 45,Caucasian,0,2,0,0,2,-1,5/04/2014 8:45,6/04/2014 1:46,5/04/2014,,1,M,Viol Injunct Domestic Violence,1,(M1),0
61,Female,51,Greater than 45,African-American,0,2,0,0,7,-1,13/02/2013 9:29,15/02/2013 1:35,13/02/2013,,1,F,Possession of Cocaine,0,,
64,Male,29,25 - 45,African-American,0,7,0,0,0,0,3/03/2014 4:28,3/03/2014 9:10,3/03/2014,,0,F,Defrauding Innkeeper $300/More,1,(M1),1
66,Male,25,25 - 45,Caucasian,0,10,0,0,9,-1,27/03/2014 10:17,3/04/2014 9:27,27/03/2014,,1,M,Battery,1,(F2),0
67,Male,35,25 - 45,African-American,1,8,0,4,13,-1,18/05/2014 4:05,19/05/2014 1:47,18/05/2014,,1,F,Uttering a Forged Instrument,1,(MO3),0
68,Male,49,Greater than 45,Caucasian,0,1,0,0,0,0,2/08/2013 4:43,2/08/2013 8:31,2/08/2013,,0,M,DUI Level 0.15 Or Minor In Veh,0,,
69,Male,34,25 - 45,African-American,0,3,0,0,4,-59,28/10/2014 4:07,18/12/2014 9:54,28/10/2014,,59,M,Driving License Suspended,1,(M2),
70,Male,29,25 - 45,African-American,0,4,0,0,0,0,24/04/2013 4:28,24/04/2013 8:20,23/04/2013,,1,F,Tampering With Physical Evidence,0,,
71,Male,29,25 - 45,Caucasian,0,2,0,0,1,-24,10/05/2013 5:18,10/05/2013 7:43,10/05/2013,,24,F,Possession of Oxycodone,1,(M1),0
72,Female,28,25 - 45,Other,0,2,0,0,0,-1,17/11/2013 9:43,18/11/2013 8:03,17/11/2013,,1,F,Grand Theft in the 3rd Degree,0,,
75,Male,48,Greater than 45,Caucasian,0,6,0,0,20,302,28/02/2014 11:19,11/03/2014 2:46,,18/10/2011,562,F,arrest case no charge,1,(M2),
77,Female,63,Greater than 45,Hispanic,0,1,0,0,1,-219,17/06/2013 4:04,25/06/2013 8:31,,17/06/2013,219,F,arrest case no charge,0,,
79,Male,31,25 - 45,African-American,0,5,0,1,15,-1,17/03/2013 9:02,31/07/2013 8:23,17/03/2013,,1,F,Attempt Armed Burglary Dwell,1,(M2),
80,Male,24,Less than 25,African-American,0,4,0,0,2,-1,17/09/2013 7:19,19/09/2013 4:16,17/09/2013,,1,F,Poss Tetrahydrocannabinols,1,(M1),1
83,Male,30,25 - 45,Hispanic,0,7,0,0,0,0,20/01/2013 2:50,12/02/2013 9:16,20/01/2013,,0,M,Possess Cannabis/20 Grams Or Less,0,,
84,Male,49,Greater than 45,African-American,0,1,0,0,4,-1,26/08/2013 9:16,27/08/2013 6:57,26/08/2013,,1,M,Battery,0,,
85,Male,53,Greater than 45,Caucasian,0,5,0,0,8,-13,15/05/2013 8:36,28/05/2013 10:06,,15/05/2013,13,F,arrest case no charge,0,,
87,Male,35,25 - 45,African-American,0,3,0,0,5,-1,10/02/2013 7:44,11/02/2013 7:04,10/02/2013,,1,F,Driving While License Revoked,0,,
88,Male,63,Greater than 45,African-American,0,7,0,0,10,-38,3/05/2013 9:19,8/06/2013 5:22,17/12/2010,,906,M,Possess Drug Paraphernalia,1,(M2),
90,Male,27,25 - 45,African-American,1,10,1,2,15,-1,29/08/2014 4:58,30/08/2014 8:38,29/08/2014,,1,F,Driving While License Revoked,1,(M1),0
91,Male,38,25 - 45,Caucasian,0,2,0,0,4,-1,3/02/2013 11:59,5/02/2013 11:05,3/02/2013,,1,M,Battery,1,(M2),
93,Male,22,Less than 25,African-American,0,4,0,1,1,-1,15/11/2013 6:56,16/11/2013 7:51,15/11/2013,,1,F,Poss Firearm W/Altered ID#,1,(M1),
95,Male,22,Less than 25,African-American,0,10,1,2,2,70,23/05/2013 1:31,24/09/2013 6:24,20/11/2012,,114,F,Sell Conterfeit Cont Substance,1,(M2),0
96,Male,29,25 - 45,African-American,0,9,0,0,4,-1,25/01/2013 10:34,13/02/2013 9:36,,25/01/2013,1,F,arrest case no charge,1,(F3),
97,Male,62,Greater than 45,Hispanic,0,1,0,0,0,0,8/01/2013 12:33,8/01/2013 9:41,7/01/2013,,1,M,Unlaw LicTag/Sticker Attach,0,,
98,Male,27,25 - 45,African-American,0,6,1,0,6,0,30/04/2014 2:11,30/05/2014 4:59,30/04/2014,,0,F,Aggravated Battery / Pregnant,1,(F3),0
99,Male,33,25 - 45,Other,0,1,0,0,0,-1,8/03/2014 1:34,9/03/2014 10:21,8/03/2014,,1,M,Battery,0,,
100,Female,56,Greater than 45,African-American,0,1,0,0,0,0,28/09/2013 2:52,1/10/2013 7:39,27/09/2013,,1,M,Battery,0,,
101,Male,45,Greater than 45,Hispanic,0,1,0,0,6,-1,12/01/2013 5:43,11/09/2013 4:51,12/01/2013,,1,F,Possession of Cocaine,1,(M2),
102,Male,22,Less than 25,Hispanic,0,4,0,0,1,-1,24/05/2013 6:06,25/05/2013 7:28,24/05/2013,,1,F,Burglary Structure Unoccup,0,,
105,Male,39,25 - 45,African-American,0,4,0,0,1,-1,6/03/2013 11:23,11/03/2013 9:00,,6/03/2013,1,M,arrest case no charge,0,,
107,Male,29,25 - 45,African-American,0,6,0,0,5,0,7/01/2013 2:12,8/01/2013 5:19,7/01/2013,,0,F,False Name By Person Arrest,1,(M2),0
108,Male,27,25 - 45,Caucasian,0,6,0,1,1,-1,2/12/2014 3:23,16/12/2014 9:24,,2/12/2014,1,F,arrest case no charge,1,(F3),
111,Male,40,25 - 45,African-American,0,2,0,0,2,-15,2/07/2013 3:42,5/07/2013 8:13,,2/07/2013,15,F,arrest case no charge,0,,
113,Male,22,Less than 25,African-American,0,3,0,0,1,0,25/08/2013 12:07,11/09/2013 8:04,24/08/2013,,1,M,Battery,1,(M2),
114,Male,22,Less than 25,Caucasian,0,8,0,0,0,-1,18/02/2013 12:24,17/04/2013 10:32,18/02/2013,,1,F,Grand Theft in the 3rd Degree,0,,
115,Female,26,25 - 45,African-American,0,4,0,0,1,-1,7/11/2013 9:01,9/11/2013 9:07,7/11/2013,,1,F,Poss Cocaine/Intent To Del/Sel,1,(M1),0
116,Male,27,25 - 45,Caucasian,0,7,0,0,1,-43,8/06/2014 1:02,27/06/2014 9:37,7/06/2014,,44,F,Burglary Dwelling Assault/Batt,1,(M1),24
119,Male,32,25 - 45,African-American,0,2,0,0,0,-1,3/03/2013 3:33,4/03/2013 7:08,3/03/2013,,1,F,Felony Battery (Dom Strang),0,,
120,Male,41,25 - 45,African-American,0,2,0,0,1,-1,27/02/2013 9:49,1/03/2013 1:59,,19/12/1998,5185,M,arrest case no charge,0,,
122,Male,30,25 - 45,African-American,0,10,0,0,8,-1,20/02/2013 2:14,21/02/2013 7:47,20/02/2013,,1,M,Possess Cannabis/20 Grams Or Less,1,(M1),0
127,Male,50,Greater than 45,Other,0,1,0,0,0,-1,6/08/2014 12:43,7/08/2014 8:29,,6/08/2014,1,F,arrest case no charge,1,(M2),135
128,Male,25,25 - 45,African-American,1,10,6,1,14,-1,19/04/2013 2:20,26/04/2013 5:45,,19/04/2013,1,F,arrest case no charge,1,(M1),0
130,Male,20,Less than 25,Other,0,5,0,0,0,-1,2/10/2013 5:50,3/10/2013 8:15,2/10/2013,,1,F,Tampering With Physical Evidence,1,(F2),0
131,Male,22,Less than 25,African-American,1,9,0,0,2,0,16/01/2014 2:39,15/02/2014 4:39,16/01/2014,,0,F,Attempted Burg/struct/unocc,1,(M1),1
132,Male,23,Less than 25,African-American,0,7,0,1,2,137,1/08/2014 8:35,2/08/2014 1:49,,6/09/2013,192,M,arrest case no charge,1,(M2),
136,Female,35,25 - 45,African-American,0,2,0,0,1,-1,29/03/2013 6:55,30/03/2013 3:12,,29/03/2013,1,M,arrest case no charge,0,,
137,Male,36,25 - 45,African-American,0,7,0,0,9,0,29/04/2014 12:24,3/05/2014 4:26,28/04/2014,,1,F,Deliver Cocaine,1,(M1),1
138,Male,26,25 - 45,Caucasian,0,8,0,0,7,0,12/01/2013 4:53,12/01/2013 7:28,11/01/2013,,1,F,Possession Burglary Tools,1,(M1),1
139,Male,21,Less than 25,Other,0,6,0,0,1,0,20/04/2013 12:30,24/04/2013 10:36,19/04/2013,,1,F,Grand Theft in the 3rd Degree,1,(M1),0
142,Male,25,25 - 45,Caucasian,0,8,0,0,9,-1,12/12/2014 7:27,13/12/2014 7:23,12/12/2014,,1,F,Pos Cannabis W/Intent Sel/Del,1,(M2),
143,Male,71,Greater than 45,African-American,0,7,0,0,12,,,,23/10/2010,,804,M,Possess Cannabis/20 Grams Or Less,0,,
145,Female,20,Less than 25,Caucasian,0,7,0,0,0,-1,13/11/2013 11:21,14/11/2013 1:36,13/11/2013,,1,F,"Poss3,4 Methylenedioxymethcath",0,,
146,Male,39,25 - 45,Caucasian,0,1,0,0,2,-2,11/02/2013 12:50,11/02/2013 7:33,10/02/2013,,3,F,Possession Of Alprazolam,1,(F3),0
147,Male,66,Greater than 45,Caucasian,0,1,0,0,3,-64,3/09/2013 4:44,3/10/2013 12:15,3/09/2013,,64,F,Flee/Elude LEO-Agg Flee Unsafe,0,,
148,Female,54,Greater than 45,Caucasian,0,1,0,0,0,0,15/04/2013 1:07,15/04/2013 7:56,14/04/2013,,1,M,DUI Level 0.15 Or Minor In Veh,0,,
150,Female,44,25 - 45,Hispanic,0,1,0,0,0,-2,18/08/2013 3:23,19/08/2013 6:27,18/08/2013,,2,M,Battery,0,,
151,Male,19,Less than 25,African-American,0,4,0,0,1,-10,4/11/2014 7:39,13/11/2014 10:02,4/11/2014,,10,M,Battery,1,(M1),0
152,Male,24,Less than 25,African-American,0,2,0,0,1,-137,14/10/2013 4:11,28/02/2014 11:20,,14/10/2013,137,F,arrest case no charge,0,,
153,Male,30,25 - 45,African-American,0,2,0,0,1,-1,8/09/2013 9:39,9/09/2013 8:03,8/09/2013,,1,F,Fail To Redeliv Hire/Leas Prop,0,,
154,Female,39,25 - 45,Caucasian,0,1,0,0,0,-1,4/09/2013 11:36,6/09/2013 4:07,4/09/2013,,1,F,Aggravated Assault W/Dead Weap,1,(M1),1
156,Male,24,Less than 25,Caucasian,0,6,1,2,8,-1,10/04/2013 5:59,22/04/2013 10:32,11/04/2013,,0,F,False Ownership Info/Pawn Item,1,(F2),1
157,Male,30,25 - 45,Caucasian,0,4,0,0,0,-1,28/08/2013 11:22,3/09/2013 10:40,28/08/2013,,1,F,Possession Of Methamphetamine,0,,
158,Male,31,25 - 45,Caucasian,0,5,0,0,0,-1,20/02/2014 9:46,31/03/2014 9:04,20/02/2014,,1,M,Battery,0,,
159,Female,39,25 - 45,Caucasian,0,4,0,0,1,-1,25/02/2013 7:42,12/06/2013 4:31,25/02/2013,,1,F,Possession of Morphine,0,,
160,Male,59,Greater than 45,African-American,0,9,0,0,14,178,31/05/2015 7:39,18/09/2015 1:21,,14/03/2014,265,F,arrest case no charge,1,(F3),0
163,Male,43,25 - 45,Caucasian,0,1,0,0,1,-30,16/07/2013 6:41,17/07/2013 7:35,16/07/2013,,30,F,Possession of Cocaine,0,,
166,Male,21,Less than 25,African-American,0,9,0,0,3,-1,1/03/2013 1:43,7/03/2013 8:20,1/03/2013,,1,F,Grand Theft in the 3rd Degree,1,(M1),0
169,Male,38,25 - 45,Caucasian,0,4,0,0,5,-1,15/01/2013 8:16,18/01/2013 4:32,15/01/2013,,1,M,Possess Cannabis/20 Grams Or Less,1,(F3),0
171,Male,34,25 - 45,Caucasian,0,5,0,0,0,0,15/02/2013 10:54,2/03/2013 9:04,15/02/2013,,0,F,Aggravated Assault w/Firearm,0,,
173,Male,33,25 - 45,African-American,0,5,0,0,5,0,17/11/2013 1:23,17/11/2013 8:15,16/11/2013,,1,F,Poss Contr Subst W/o Prescript,1,(M1),
174,Male,37,25 - 45,African-American,0,2,0,0,3,0,18/11/2013 3:46,19/11/2013 10:18,18/11/2013,,0,F,"Poss3,4 Methylenedioxymethcath",0,,
175,Male,42,25 - 45,Caucasian,0,2,0,0,1,0,16/03/2013 3:53,17/03/2013 1:43,15/03/2013,,1,F,Aggrav Stalking After Injunctn,1,(F3),1
176,Male,41,25 - 45,African-American,0,9,1,0,10,0,6/09/2013 4:25,1/03/2014 4:39,6/09/2013,,0,F,Possession of Cocaine,1,(M1),0
177,Male,22,Less than 25,African-American,0,4,0,0,0,-1,12/11/2013 3:57,13/11/2013 1:01,12/11/2013,,1,F,Uttering a Forged Instrument,1,(F3),362
178,Male,33,25 - 45,African-American,0,8,12,2,28,-1,10/01/2014 8:06,12/01/2014 4:07,10/01/2014,,1,F,Driving While License Revoked,1,(M2),0
180,Male,31,25 - 45,African-American,0,7,0,0,1,-1,13/10/2013 3:47,14/10/2013 8:18,13/10/2013,,1,M,Battery,0,,
182,Female,30,25 - 45,Other,0,2,0,0,1,-1,28/10/2013 7:07,29/10/2013 9:49,28/10/2013,,1,F,Crim Use of Personal ID Info,0,,
183,Male,31,25 - 45,Caucasian,0,10,0,0,13,-1,25/02/2013 6:43,11/06/2014 12:57,,26/02/2013,0,F,arrest case no charge,1,(F2),
184,Male,27,25 - 45,African-American,0,9,0,0,3,-1,14/11/2014 12:10,15/11/2014 11:29,14/11/2014,,1,F,Possession of Cocaine,1,(F3),
187,Male,56,Greater than 45,African-American,0,9,0,0,8,67,11/02/2014 9:01,2/05/2014 8:04,,18/09/2013,79,F,arrest case no charge,0,,
189,Male,52,Greater than 45,Caucasian,0,9,0,0,3,-2,27/07/2013 10:50,28/07/2013 2:01,27/07/2013,,2,M,Battery,0,,
190,Male,33,25 - 45,African-American,0,10,0,0,19,-1,28/12/2013 10:22,29/12/2013 7:10,,28/12/2013,1,F,arrest case no charge,1,(M2),
192,Female,64,Greater than 45,Caucasian,0,1,0,0,2,-47,12/02/2014 4:23,12/02/2014 1:49,11/02/2014,,48,M,Resist/Obstruct W/O Violence,0,,
193,Male,22,Less than 25,Caucasian,0,6,0,0,4,-36,7/07/2014 4:10,21/07/2014 9:38,7/07/2014,,36,F,Possession Of Alprazolam,1,(M2),
194,Male,42,25 - 45,Caucasian,0,3,0,0,6,-4,13/09/2013 12:01,13/09/2013 9:01,12/09/2013,,5,F,Possession Of Alprazolam,0,,
195,Female,25,25 - 45,Caucasian,0,4,0,0,2,-1,22/12/2013 1:36,25/12/2013 2:33,,22/12/2013,1,F,arrest case no charge,0,,
197,Male,30,25 - 45,Caucasian,0,2,0,0,1,-20,30/10/2013 6:36,3/11/2013 2:08,30/10/2013,,20,M,Agg Fleeing and Eluding,0,,
199,Male,28,25 - 45,Caucasian,0,1,0,0,2,,,,,21/03/2013,161,F,arrest case no charge,0,,
200,Female,37,25 - 45,Other,0,2,0,0,2,-1,29/12/2013 10:42,31/12/2013 4:10,22/05/2013,,222,M,Petit Theft,0,,
202,Male,28,25 - 45,Caucasian,0,2,0,0,0,-1,18/12/2014 11:16,19/12/2014 8:34,18/12/2014,,1,M,Disorderly Intoxication,1,(M1),0
203,Female,24,Less than 25,African-American,0,2,0,0,0,-1,6/02/2014 1:25,8/02/2014 12:00,6/02/2014,,1,M,Battery,0,,
206,Female,29,25 - 45,Caucasian,0,4,1,0,10,-1,18/11/2014 7:08,25/11/2014 9:31,18/11/2014,,1,F,Grand Theft in the 3rd Degree,1,(F3),1
208,Male,44,25 - 45,Caucasian,0,2,0,0,2,0,27/01/2014 2:05,27/01/2014 1:32,26/01/2014,,1,M,Battery,1,(M1),
209,Female,30,25 - 45,Hispanic,0,5,0,0,4,-35,28/02/2014 1:37,28/02/2014 9:21,27/02/2014,,36,F,Battery on Law Enforc Officer,1,(M1),1
210,Male,32,25 - 45,African-American,0,7,0,0,3,-1,1/01/2013 7:06,9/01/2013 8:36,1/01/2013,,1,F,Possession of Cocaine,1,(F3),
213,Male,31,25 - 45,Caucasian,0,3,0,0,2,-16,20/08/2013 5:28,4/09/2013 8:35,20/08/2013,,16,M,Resist/Obstruct W/O Violence,1,(M1),
215,Male,31,25 - 45,African-American,0,2,0,0,1,-1,16/01/2013 5:37,17/01/2013 7:15,16/01/2013,,1,M,Lewdness Violation,1,(M2),
216,Male,59,Greater than 45,Caucasian,0,2,0,0,1,-1,1/04/2013 11:13,2/04/2013 1:06,1/04/2013,,1,F,Possession of Cocaine,1,(M2),5
218,Female,45,Greater than 45,Caucasian,0,4,0,0,4,,,,,14/04/2012,375,F,arrest case no charge,0,,
220,Female,20,Less than 25,African-American,1,10,0,0,1,0,20/11/2013 9:36,23/11/2013 4:06,,20/11/2013,0,F,arrest case no charge,0,,
222,Female,43,25 - 45,Caucasian,0,1,0,0,0,0,14/05/2013 4:01,15/05/2013 3:11,14/05/2013,,0,M,DUI Level 0.15 Or Minor In Veh,0,,
223,Male,38,25 - 45,African-American,1,8,1,0,9,-1,18/04/2014 2:31,1/05/2014 5:39,18/04/2014,,1,F,Possession of Cocaine,1,(M1),0
224,Male,32,25 - 45,African-American,0,6,0,0,11,-2,17/12/2014 2:03,18/12/2014 8:41,17/12/2014,,2,F,Poss Pyrrolidinovalerophenone,1,(F3),0
225,Male,33,25 - 45,African-American,0,5,0,0,8,-1,25/12/2013 7:37,26/12/2013 1:30,25/12/2013,,1,M,Assault,1,(M1),
227,Female,31,25 - 45,African-American,0,3,0,0,0,-1,22/10/2014 11:17,24/10/2014 6:08,22/10/2014,,1,F,Possession of Oxycodone,1,(M2),39
228,Female,33,25 - 45,African-American,0,9,0,0,7,-1,10/01/2013 1:18,5/02/2013 5:36,10/01/2013,,1,F,Possession of Cocaine,1,(M2),0
229,Male,27,25 - 45,African-American,0,9,0,0,2,-1,15/04/2013 5:49,16/04/2013 7:48,15/04/2013,,1,F,Tampering With Physical Evidence,1,(M1),0
231,Female,20,Less than 25,African-American,0,6,0,0,0,0,7/12/2013 3:39,7/12/2013 7:28,6/12/2013,,1,F,Grand Theft in the 3rd Degree,0,,
232,Female,26,25 - 45,Caucasian,0,6,0,0,0,-2,25/01/2014 4:45,26/01/2014 2:13,25/01/2014,,2,M,Fail To Obey Police Officer,0,,
234,Female,61,Greater than 45,African-American,0,1,0,0,1,-1,26/04/2013 7:00,27/04/2013 1:09,26/04/2013,,1,F,Solicit Purchase Cocaine,1,(M2),
235,Male,52,Greater than 45,Other,0,7,0,0,13,-1,14/05/2013 9:51,16/05/2013 3:32,14/05/2013,,1,F,Felony Petit Theft,1,(M2),0
236,Male,63,Greater than 45,Hispanic,0,1,0,0,1,-26,10/01/2014 9:45,25/01/2014 5:08,,10/01/2014,26,F,arrest case no charge,0,,
238,Female,32,25 - 45,African-American,0,10,0,0,4,-7,16/04/2014 9:55,23/04/2014 5:27,,16/04/2014,7,F,arrest case no charge,1,(F3),0
239,Male,29,25 - 45,Hispanic,0,4,0,0,1,-1,5/09/2013 6:24,6/09/2013 3:39,5/09/2013,,1,F,Grand Theft in the 3rd Degree,0,,
240,Female,46,Greater than 45,Other,0,2,0,0,1,,,,30/10/2012,,72,F,Grand Theft in the 1st Degree,0,,
241,Female,26,25 - 45,African-American,0,4,0,0,2,-1,9/03/2013 7:15,10/03/2013 1:31,9/03/2013,,1,M,Driving Under The Influence,1,(M2),
242,Male,55,Greater than 45,African-American,0,1,0,0,3,-51,7/05/2013 1:06,8/05/2013 3:17,6/05/2013,,52,M,Battery,0,,
243,Male,39,25 - 45,Caucasian,1,4,0,0,1,-1,10/02/2014 10:59,14/02/2014 9:09,15/07/2009,,1672,M,,0,,
244,Female,30,25 - 45,Caucasian,0,7,0,0,3,0,2/05/2013 4:01,14/10/2014 6:03,1/05/2013,,1,F,Possession Of Carisoprodol,1,(F3),554
245,Male,30,25 - 45,African-American,0,7,0,0,1,0,2/03/2013 1:19,11/05/2013 4:23,1/03/2013,,1,F,Burglary Conveyance Assault/Bat,0,,
246,Male,48,Greater than 45,Caucasian,0,2,0,0,2,-1,25/09/2013 12:51,26/09/2013 8:42,25/09/2013,,1,M,Battery,0,,
248,Male,22,Less than 25,African-American,0,2,0,0,1,-1,15/05/2013 12:16,16/05/2013 9:03,,15/05/2013,1,F,arrest case no charge,0,,
249,Male,46,Greater than 45,Caucasian,0,1,0,0,6,22,5/03/2013 9:31,28/03/2013 1:40,11/01/2013,,31,F,Driving While License Revoked,1,(M2),0
251,Female,49,Greater than 45,Caucasian,0,6,0,0,6,-56,22/01/2014 7:46,27/01/2014 8:19,22/01/2014,,56,F,Crim Use of Personal ID Info,0,,
252,Male,31,25 - 45,Caucasian,0,5,0,0,0,0,20/04/2013 2:52,22/04/2013 9:19,19/04/2013,,1,F,"Deliver 3,4 Methylenediox",0,,
